id,isfraud
32263877,0.5
32263886,1.0
32263890,0.0
32263895,0.0
32263896,0.45
32263904,0.5
32263927,1.0
32263940,0.5
32263941,0.0
32263942,1.0
32263944,0.5
32263952,0.45
32263956,0.5681818181818182
32263963,0.5
32263968,0.5681818181818182
32264003,0.5681818181818182
32264009,0.5681818181818182
32264018,0.5681818181818182
32264027,0.5681818181818182
32264031,0.5681818181818182
32264057,0.5681818181818182
32264080,0.5
32264136,0.45
32264150,0.0
32264170,0.0
32264183,1.0
32264201,0.0
32264212,0.45
32264223,0.0
32264230,0.5
32264231,1.0
32264236,0.0
32264261,0.5146804835924007
32264273,0.0
32264323,1.0
32264336,0.45
32264346,0.3157894736842105
32264375,0.45
32264384,0.5681818181818182
32264390,0.0
32264407,0.5146804835924007
32264450,1.0
32264451,0.45
32264462,0.45
32264474,0.45
32264489,0.0
32264504,0.0
32264508,0.5146804835924007
32264509,0.5681818181818182
32264529,0.1
32264530,0.45
32264541,1.0
32264546,0.5833333333333334
32264563,0.45
32264578,1.0
32264584,0.5
32264585,0.45
32264588,0.5
32264594,0.45
32264605,0.5681818181818182
32264613,0.0
32264614,0.5
32264617,0.45
32264626,0.5
32264629,0.5833333333333334
32264635,0.5
32264648,0.45
32264671,0.0
32264675,0.3888888888888889
32264680,0.0
32264691,0.0
32264693,0.5681818181818182
32264700,0.5
32264732,0.5681818181818182
32264749,0.5
32264765,0.5
32264784,0.5681818181818182
32264802,0.0
32264823,0.0
32264824,1.0
32264845,0.45
32264846,0.0
32264854,0.45
32264864,0.0
32264875,1.0
32264918,1.0
32264923,0.45
32264941,0.5
32264954,0.5681818181818182
32264957,0.5681818181818182
32264987,1.0
32264991,0.5
32264994,0.5
32265002,0.5146804835924007
32265015,0.45
32265026,0.4666666666666667
32265030,0.5681818181818182
32265055,0.5146804835924007
32265059,0.5658835546475995
32265076,0.5
32265119,0.8043478260869565
32265133,0.0
32265138,1.0
32265145,0.45
32265173,0.5
32265177,0.45
32265180,0.0
32265207,0.3888888888888889
32265235,0.45
32265242,0.5
32265252,0.45
32265267,0.0
32265287,0.0
32265289,0.5
32265294,0.0
32265296,0.45
32265328,0.5681818181818182
32265348,0.5
